k-name,k-quote,e-name,e-quote
앤디 워홀," 총격을 당하기 전까지는, 나는 항상 내가 어느 곳에 온전히 존재한다기보다 반쯤만 존재한다고 생각했다. 내가 현실에서 사는 게 아니라, 텔레비전을 보고 있는 게 아닌가 항상 의심쩍었다. 총에 맞은 직후 그리고 그 후로 계속, 나는 내가 텔레비전을 보고 있었다는 사실을 알았다. ",Andy Warhol,"Before I was shot, I always thought that I was more half-there than all-there - I always suspected that I was watching TV instead of living life. Right when I was being shot and ever since, I knew that I was watching television."
바뤼흐 스피노자," 명성에는 이런 큰 단점도 있는 바, 바로 우리가 그것을 좇을 수록 다른 이들의 비위를 맞추는데 우리 인생을 경주해야한다는 것이다. ",Baruch Spinoza,"Fame has also this great drawback, that if we pursue it, we must direct our lives so as to please the fancy of men."
조지 버나드 쇼, 젊음은 경이롭다. 아이들에게 젊음을 낭비하다니 죄악이 아닐 수 없다. ,George Bernard Shaw,Youth is a wonderful thing. What a crime to waste it on children.
라와나 블랙웰, 나이가 성숙을 보장하지는 않는다. ,Lawana Blackwell,Age is no guarantee of maturity.
시어도어 루스벨트, 당신이 어떤 일을 해낼 수 있는지 누군가가 물어보면 대답해라. '물론이죠!' 그 다음 어떻게 그 일을 해낼 수 있을지 부지런히 고민하라. ,Theodore Roosevelt,"Whenever you are asked if you can do a job, tell 'em, 'Certainly I can!' Then get busy and find out how to do it."
공자, 배우고 때로 익히면 또한 기쁘지 아니한가 (學而時習之 不亦說乎 / 학이시습지 불역열호) ,Confucius,"Isn't it a pleasure to study, and to practice what you have learned?"
에우리피데스, 젊었을 때 배움을 게을리 한 사람은 과거를 상실하며 미래도 없다. ,Euripides,"Whoso neglects learning in his youth, Loses the past and is dead for the future."
공자," 배우기만 하고 생각하지 않으면 얻는 것이 없고, 생각만 하고 배우지 않으면 위태롭다. ",Confucius,"He who learns but does not think, is lost! He who thinks but does not learn is in great danger."
제임스 딘, 하지만 만약 아이들이 와서 영화를 보기를 바란다면 어떤 현실과 동떨어진 이상적인 행동 개념을 보여줄 수는 없다. 실제와 비슷한 것을 보여주고 그것을 근거로 아이들에게 다가가야 한다. ,James Dean,"But you can't show some far off idyllic conception of behavior if you want the kids to come and see the picture. You've got to show what it's really like, and try to reach them on their own grounds."
미셸 드 몽테뉴, 내가 농부들과 함께 있는 것을 더 좋아하는 이유는 농부들은 잘못 사고하도록 충분한 교육을 받지 않았기 때문이다. ,Michel de Montaigne,I prefer the company of peasants because they have not been educated sufficiently to reason incorrectly.
러셀 그린, 고전적 교육의 장점은 그 교육이 당신으로 하여금 이루지 못하게 하는 부를 경멸할 수 있게 해준다는 것이다. ,Russell Green,The advantage of a classical education is that it enables you to despise the wealth that it prevents you from achieving.
소피아 로렌, 어려운 직업에서 성공하려면 자신을 굳게 믿어야 한다. 이것이 탁월한 재능을 지닌 사람보다 재능은 평범하지만 강한 투지를 가진 사람이 훨씬 더 성공하는 이유다. ,Sophia Loren,"Getting ahead in a difficult profession requires avid faith in yourself. That is why some people with mediocre talent, but with great inner drive, go much further than people with vastly superior talent."
헬렌 켈러, 나는 폭풍이 두렵지 않다. 나의 배로 항해하는 법을 배우고 있으니까. ,Helen Keller,I am not afraid of storms for I am learning how to sail my ship.
허버트 스펜서, 교육의 위대한 목표는 앎이 아니라 행동이다. ,Herbert Spencer,The great aim of education is not knowledge but action.
G. M. 트리벨리언, 교육은 읽을 줄 알지만 무엇이 읽을 가치가 있는지는 모르는 수많은 사람을 배출해냈다. ,G. M. Trevelyan,Education... has produced a vast population able to read but unable to distinguish what is worth reading.
버트런드 러셀," 대부분의 아이들에게 교사의 지혜를 수동적으로 수용하는 것은 쉬운 일이다. 여기에는 독자적으로 사고하려는 노력도 없고, 교사가 학생보다 많이 알기 때문에 합당해 보이기도 한다. 더욱이 극히 예외적인 교사를 제외하면 교사에게 잘 보이는 방법이기도 하다. 그러나 수동적으로 수용하는 습관은 이후의 삶에서는 재앙과도 같다. 지도자를 찾고 받아들이게 하며, 그 지위에 오른 자면 누가 되었든 지도자로 인정하게 만든다. ",Bertrand Russell,"Passive acceptance of the teacher's wisdom is easy to most boys and girls. It involves no effort of independent thought, and seems rational because the teacher knows more than his pupils; it is moreover the way to win the favour of the teacher unless he is a very exceptional man. Yet the habit of passive acceptance is a disastrous one in later life. It causes man to seek and to accept a leader, and to accept as a leader whoever is established in that position."
장 폴 리히터," 행동만이 삶에 힘을 주고, 절제만이 삶에 매력을 준다. ",Jean Paul Richter,Only actions give life strength; only moderation gives it a charm.
알버트 아인슈타인," 젊은이들에게 정형화된 성공을 인생의 중요한 목표라고 설교하는 일이 없도록 조심해야 한다. 학교와 인생에서 가장 큰 동기부여는 일과 학업의 즐거움, 그 성과에서 얻는 즐거움, 그리고 그 결과가 지역사회에 기여하는 가치를 인식하는 것이다. ",Albert Einstein,"One should guard against preaching to young people success in the customary form as the main aim in life. The most important motive for work in school and in life is pleasure in work, pleasure in its result, and the knowledge of the value of the result to the community."
로렌스 J. 피터, 교육은 더 높은 수준의 편견을 얻는 방법이다. ,Laurence J. Peter,Education is a method whereby one acquires a higher grade of prejudices.
윈스턴 처칠," 인생에서 가장 위대한 교훈은, 심지어는 바보도 어떨 때는 옳다는 걸 아는 것이다. ",Sir Winston Churchill,The greatest lesson in life is to know that even fools are right sometimes.
프레드리히 니체, 옛사람들이 '신을 위해서' 행했던 것을 요즘 사람들은 돈을 위해서 행한다. ,Friedrich Nietzsche,What we once did 'for the sake of God' we now do for the sake of money.
윌 듀란트, 교육은 우리 자신의 무지를 점차 발견해 가는 과정이다. ,Will Durant,Education is a progressive discovery of our own ignorance.
제임스 딘, 이 영화가 새롭게 보여주는 한 가지는 부모에 대한 아이들 요구 사항들의 심리적 불균형이다. 대부분 부모에게 잘못이 있지만 아이들도 일부 해야 할 일이 있다. ,James Dean,"I think the one thing this picture shows that's new is the psychological disproportion of the kids' demands on the parents. Parents are often at fault, but the kids have some work to do, too."
조르지오 일리스, 학생이 되기를 멈춘 자는 한 번도 학생인 적이 없었던 자이다. ,George Iles,Whoever ceases to be a student has never been a student.
어빙 베를린, 성공에 있어 가장 어려운 면은 성공한 상태를 계속 유지해야 한다는 것이다. 이 분야에서 재능은 출발점일 뿐이다. 당신은 그 재능을 계속 연마해야 한다. 언젠가 재능을 구하려 하면 그것은 거기에 없을 것이다. ,Irving Berlin,The toughest thing about success is that you've got to keep on being a success. Talent is only a starting point in this business. You've got to keep on working that talent. Someday I'll reach for it and it won't be there.
오프라 윈프리, 당신은 움츠리기보다 활짝 피어나도록 만들어진 존재입니다. ,Oprah Winfrey,You are built not to shrink down to less but to blossom into more.
커트 르윈," 성공한 사람은 대개 지난번 성취한 것 보다 다소 높게, 그러나 과하지 않게 다음 목표를 세운다. 이렇게 꾸준히 자신의 포부를 키워간다. ",Kurt Lewin,A successful individual typically sets his next goal somewhat but not too much above his last achievement. In this way he steadily raises his level of aspiration.
벤자민 프랭클린, 기운과 끈기는 모든 것을 이겨낸다. ,Benjamin Franklin,Energy and persistence conquer all things.
G. K. 체스터튼, 내가 성공한 것은 최고의 조언에 진심으로 귀 기울인 후 그에 얽매이지 않고 정 반대를 행한 덕이다. ,G. K. Chesterton,"I owe my success to having listened respectfully to the very best advice, and then going away and doing the exact opposite."
에드워드 기번," 우리는 자신을 이김으로써 스스로를 향상시킨다. (자신과의) 싸움은 반드시 존재하고, 거기에서 이겨야 한다. ",Edward Gibbon,"We improve ourselves by victories over ourself. There must be contests, and you must win."
윈스턴 처칠, 최선을 다하고 있다라고 말해봤자 소용없다. 필요한 일을 함에 있어서는 반드시 성공해야 한다. ,Sir Winston Churchill,"It is no use saying, ""We are doing our best."" You have got to succeed in doing what is necessary."
데이비드 록펠러," 사업의 성공은 훈련과 절도, 고된 노력을 요한다. 그러나 이런 것들에 지레 겁먹지만 않으면 성공의 기회는 오늘도 그 어느 때 못지 않다. ",David Rockefeller,"Success in business requires training and discipline and hard work. But if you're not frightened by these things, the opportunities are just as great today as they ever were."
에릭 A. 번스, 인류는 세상을 다른 시각으로 보는 사람들에게 냉담할 수 있다. ,Eric A. Burns,Humanity can be quite cold to those whose eyes see the world differently.
프랭크 토마스," 모든것을 관찰하세요. 소통을 잘 하세요. 그림을 그리고, 그리고 , 또 그리세요. ",Frank Thomas,"Observe Everything. Communicate Well. Draw, Draw, Draw."
체 게바라, 무언가를 위해 목숨을 버릴 각오가 되어 있지 않는 한 그것이 삶의 목표라는 어떤 확신도 가질 수 없다. ,"Ernesto ""Che"" Guevara",We cannot be sure of having something to live for unless we are willing to die for it
아리스토텔레스, 이상적인 인간은 삶의 불행을 위엄과 품위를 잃지 않고 견뎌내 긍정적인 태도로 그 상황을 최대한 이용한다. ,Aristotle,"The ideal man bears the accidents of life with dignity and grace, making the best of circumstances."
에밀리 디킨스, 성공이 그렇게 달콤한 것은 결코 성공하지 못한 사람들이 있기 때문이다. ,Emily Dickinson,Success is counted sweetest by those who ne'er succeed.
에이브러햄 링컨, 늘 명심하라. 성공하겠다는 너 자신의 결심이 다른 어떤 것보다 중요하다는 것을. ,Abraham Lincoln,Always bear in mind that your own resolution to succeed is more important than any one thing.
레프 톨스토이," 모든 전사 중 가장 강한 전사는 이 두 가지, 시간과 인내다. ",Leo Tolstoy,The strongest of all warriors are these two -- Time and Patience.
캐슬린 노리스," 무엇을 시작하기 전에, 예측할 수 없는 어려움과 지연이 기다리고 있다는 점을 기억하라. 이를 분명히 볼 수 있다면, 당연히 이를 제거할 수 있겠지만, 그럴 수 없다. 당신은 단 한 가지만을 분명히 볼 수 있고, 그것은 당신의 목표다. 머리 속에 목표에 대한 비전을 구상하고 어떤 고난이 있어도 그것을 고수하라. ",Kathleen Norris,"Before you begin a thing, remind yourself that difficulties and delays quite impossible to foresee are ahead. If you could see them clearly, naturally you could do a great deal to get rid of them but you can't. You can only see one thing clearly and that is your goal. Form a mental vision of that and cling to it through thick and thin."
프랭클린 D. 루스벨트, 인간은 운명의 포로가 아니라 단지 자기 마음의 포로일 뿐이다. ,Franklin D. Roosevelt,"Men are not prisoners of fate, but only prisoners of their own minds."
루이 파스퇴르, 관찰하는데 있어서는 준비된 자에게만 기회가 온다. ,Louis Pasteur,"In the field of observation, chance favors only the prepared mind."
아서 골든, 의심으로 가득 찬 마음은 승리로의 여정에 집중할 수 없다. ,Arthur Golden,A mind troubled by doubt cannot focus on the course to victory.
진 니데치, 우연이 아닌 선택이 운명을 결정한다. ,Jean Nidetch,It's choice - not chance - that determines your destiny.
이솝," 뭉치면 서고, 갈라지면 넘어진다. ",Aesop,"United we stand, divided we fall."
오프라 윈프리, 여러분을 더욱 높이 올려줄 사람만을 가까이 하세요. ,Oprah Winfrey,Surround yourself with only people who are going to lift you higher.
제이 레노, 전화번호부를 뒤져 전화를 걸고 차로 공항에 데려다 달라고 부탁하라. 데려다 주는 사람이 당신의 진정한 친구다. 나머지는 나쁜 사람은 아니다. 그저 지인일뿐이다. ,Jay Leno,"Go through your phone book, call people and ask them to drive you to the airport. The ones who will drive you are your true friends. The rest aren't bad people; they're just acquaintances."
벤자민 프랭클린," 친구를 고르는 데는 천천히, 친구를 바꾸는 데는 더 천천히. ",Benjamin Franklin,"Be slow in choosing a friend, slower in changing."
마이클 조던, 재능은 게임에서 이기게 한다. 그러나 팀워크는 우승을 가져온다. ,Michael Jordan,"Talent wins games, but teamwork wins championships."
토마스 존스," 친구는 있다가도 없고, 없다가도 있을 수 있지만, 적은 계속 는다. ",Thomas Jones,"Friends may come and go, but enemies accumulate."
엘버트 허버드," 설명하지마라--친구라면 설명할 필요가 없고, 적이라면 어차피 당신을 믿으려 하지 않을테니까. ",Elbert Hubbard,Never explain--your friends do not need it and your enemies will not believe you anyway.
사무엘 존슨," 만약 사람이 살면서 새 친구를 사귀지 않는다면, 곧 홀로 남게 될 것이다. 사람은 우정을 계속 보수해야 한다. ",Samuel Johnson,"If a man does not make new acquaintances as he advances through life, he will soon find himself alone. A man should keep his friendships in constant repair."
라와나 블랙웰, 단지 얘기 들어줄 사람이 필요해 우정을 키우는 것은 좋지 않다. ,Lawana Blackwell,It isn't kind to cultivate a friendship just so one will have an audience.
윌리엄 셰익스피어, 친구라면 친구의 결점을 참고 견뎌야 한다. ,William Shakespeare,A friend should bear his friend's infirmities.
아리스토텔레스, 불행은 누가 진정한 친구가 아닌지를 보여준다. ,Aristotle,Misfortune shows those who are not really friends.
커트 코베인, 나는 오늘 친구들을 찾아서 너무 행복하다. 그들은 내 머리속에 있다. ,Kurt Cobain,I'm so happy because today I found my friends - they're in my head.
레베카 웨스트," 사람이 친구를 사귀는 데는 분명한 과정이 하나 있는데, 매번 몇 시간에 걸쳐 이야기를 하고 이야기를 들어주는 것이다. ",Rebecca West,"There was a definite process by which one made people into friends, and it involved talking to them and listening to them for hours at a time."
성 제롬, 우정을 끝낼 수 있다면 그 우정은 실제로 존재하지 않은 것이다. ,Saint Jerome,The friendship that can cease has never been real.
데임 에드나 에브리지," 어머니는 낯선 사람이란 없으며, 아직 만나지 않은 친구가 있을 뿐이라고 말씀 하셨다. 어머니는 지금 호주에서 최고 보안시설의 치매노인요양소에 계시다. ",Dame Edna Everage,"My mother used to say that there are no strangers, only friends you haven't met yet. She's now in a maximum security twilight home in Australia."
존 철튼 콜린스," 풍요 속에서는 친구들이 나를 알게 되고, 역경 속에서는 내가 친구를 알게 된다. ",John Churton Collins,In prosperity our friends know us; in adversity we know our friends.
마를렌 디트리히, 새벽 4시에 전화를 걸 수 있는 친구라면 중요한 친구이다. ,Marlene Dietrich,It's the friends you can call up at four a.m. that matter.
살루스트, 같은 것을 좋아하고 싫어하는 것이 바로 진정한 우정이다. ,Sallust,"To like and dislike the same things, that is indeed true friendship."
올리버 웬델 홈스," 친구라고 해서 불쾌한 말을 해도 된다고 생각하지 말라. 누군가와 가까운 관계가 될수록, 현명하고 예의 바르게 행동하는 것이 중요하다. 가끔 부득이한 경우를 제외하고, 친구로 하여금 불쾌한 말은 적에게서 듣게 놔두라. 적들은 이미 그런 말을 거리낌 없이 할 준비가 되어있다. ",Oliver Wendell Holmes,"Don't flatter yourself that friendship authorizes you to say disagreeable things to your intimates. The nearer you come into relation with a person, the more necessary do tact and courtesy become. Except in cases of necessity, which are rare, leave your friend to learn unpleasant things from his enemies; they are ready enough to tell them."
공자, 벗이 먼 곳에서 찾아오면 또한 즐겁지 아니한가 (有朋自遠方來 不亦樂乎 / 유붕자원방래 불역락호) ,Confucius,Isn't it great when friends visit from afar?
오스틴 펠프스, 낡은 외투를 그냥 입고 새 책을 사라. ,Austin Phelps,Wear the old coat and buy the new book.
토마스 풀러, 닫혀있기만 한 책은 블록일 뿐이다. ,Thomas Fuller,A book that is shut is but a block.
에반 에사르, 신간은 대개 1년이면 잊혀지는데 특히 책을 빌리는 사람들에게서 잊혀진다. ,Evan Esar,"Most new books are forgotten within a year, especially by those who borrow them."
미셸 드 몽테뉴, 내가 우울한 생각의 공격을 받을 때 내 책에 달려가는 일처럼 도움이 되는 것은 없다. 책은 나를 빨아들이고 마음의 먹구름을 지워준다. ,Michel de Montaigne,"When I am attacked by gloomy thoughts, nothing helps me so much as running to my books. They quickly absorb me and banish the clouds from my mind."
랠프 노박, 이 책을 읽는 것은 첫 신을 신고 발 떼기를 기다리는 것과 같다. ,Ralph Novak,Reading this book is like waiting for the first shoe to drop.
마크 트웨인, 제인 오스틴의 책에서 누락된 내용만으로도 책 한 권 없던 도서관을 꽤 좋은 도서관으로 만들 수 있을 것이다. ,Mark Twain,Just the omission of Jane Austen's books alone would make a fairly good library out of a library that hadn't a book in it.
윌리엄 서머셋 모옴," 내가 책을 읽을 때 눈으로만 읽는 것 같지만 가끔씩 나에게 의미가 있는 대목, 어쩌면 한 구절만이라도 우연히 발견하면 책은 나의 일부가 된다. ",William Somerset Maugham,"When I read a book I seem to read it with my eyes only, but now and then I come across a passage, perhaps only a phrase, which has a meaning for me, and it becomes part of me."
이디스 시트웰," 나의 개인적인 취미는 독서, 음악감상, 침묵이다. ",Edith Sitwell,"My personal hobbies are reading, listening to music, and silence."
살만 루시디, 한 권의 책은 세계에 대한 하나의 버전이다. 그 버전이 마음에 들지 않으면 무시하든지 답례로 자신만의 버전을 제공하라. ,Salman Rushdie,"A book is a version of the world. If you do not like it, ignore it; or offer your own version in return."
시드니 스미스, 독서할 때 당신은 항상 가장 좋은 친구와 함께 있다. ,Sydney Smith,Live always in the best company when you read.
랄프 왈도 에머슨, 가장 발전한 문명사회에서도 책은 최고의 기쁨을 준다. 독서의 기쁨을 아는 자는 재난에 맞설 방편을 얻은 것이다. ,Ralph Waldo Emerson,"In the highest civilization, the book is still the highest delight. He who has once known its satisfactions is provided with a resource against calamity."
로건 피어설 스미스, 사람들은 인생이 모든 것이라고 말하지만 나는 독서가 좋다. ,Logan Pearsall Smith,"People say that life is the thing, but I prefer reading."
로버트슨 데이비스, 훌륭한 건축물을 아침 햇살에 비춰보고 정오에 보고 달빛에도 비춰보아야 하듯이 진정으로 훌륭한 책은 유년기에 읽고 청년기에 다시 읽고 노년기에 또 다시 읽어야 한다. ,Robertson Davies,"A truly great book should be read in youth, again in maturity and once more in old age, as a fine building should be seen by morning light, at noon and by moonlight."
헨리 데이비드 소로우, 한 권의 책을 읽음으로써 자신의 삶에서 새 시대를 본 사람이 너무나 많다. ,Henry David Thoreau,How many a man has dated a new era in his life from the reading of a book.
드니 디드로," 책의 수는 점점 늘어날 것이고, 사람은 책에서 무언가를 배우는 것이 우주 전체를 직접 연구하는 데서 배우는 것과 비슷한 정도로 어려워질 때가 올 것을 예견할 수 있다. 자연에 숨어있는 진실의 일부를 탐구하는 것이 방대한 수의 책에 숨겨진 진실을 탐색하는 것과 비슷하게 편해질 것이다. ",Denis Diderot,"The number of books will grow continually, and one can predict that a time will come when it will be almost as difficult to learn anything from books as from the direct study of the whole universe. It will be almost as convenient to search for some bit of truth concealed in nature as it will be to find it hidden away in an immense multitude of bound volumes."
윌리엄 셰익스피어, 내가 책을 좋아한다는 것을 알고 그는 내가 내 공작의 작위보다 더 소중히 여길 책들로 내 서재를 채워 주었다. ,William Shakespeare,"Knowing I lov'd my books, he furnish'd me From mine own library with volumes that I prize above my dukedom."
로즈 매콜리, 그것은 죽었으면 하고 바라는 사람들이 시간을 죽이기 위해 읽는 책이었다. ,Dame Rose Macaulay,It was a book to kill time for those who like it better dead.
벤자민 프랭클린, 많이 읽어라. 그러나 많은 책을 읽지는 마라. ,Benjamin Franklin,"Read much, but not many books."
르네 데카르트, 좋은 책을 읽는 것은 과거 몇 세기의 가장 훌륭한 사람들과 이야기를 나누는 것과 같다. ,Rene Descartes,The reading of all good books is like a conversation with the finest men of past centuries.
마리 드 세비녜, 이 도서관에 들어오면 내가 왜 여기서 나가는지 이해할 수가 없다. ,Marie de Sevigne,"When I step into this library, I cannot understand why I ever step out of it."
장 폴 리히터, 인간의 감정은 누군가를 만날 때와 헤어질 때 가장 순수하며 가장 빛난다. ,Jean Paul Richter,Man's feelings are always purest and most glowing in the hour of meeting and of farewell.
리처드 바크, 작별 인사에 낙담하지 말라. 재회에 앞서 작별은 필요하다. 그리고 친구라면 잠시 혹은 오랜 뒤라도 꼭 재회하게 될 터이니. ,Richard Bach,"Don't be dismayed at goodbyes, a farewell is necessary before you can meet again and meeting again, after moments or lifetimes, is certain for those who are friends."
헨리 데이비드 소로우, 멀리있는 친구만큼 세상을 넓어 보이게 하는 것은 없다. 그들은 위도와 경도가 된다. ,Henry David Thoreau,Nothing makes the earth seem so spacious as to have friends at a distance; they make the latitudes and longitudes.
조지 앨리엇, 이별의 아픔 속에서만 사랑의 깊이를 알게 된다. ,George Eliot,Only in the agony of parting do we look into the depths of love.
윌리엄 셰익스피어," 이 사랑의 꽃봉오리는 여름날 바람에 마냥 부풀었다가, 다음 만날 때엔 예쁘게 꽃필 거예요. ",William Shakespeare,"This bud of love, by summer's ripening breath, May prove a beauteous flower when next we meet."
리처드 바크," 수마일의 거리가 당신과 친구를 떼어놓을 수도 있다… 하지만 사랑하는 누군가와 정말 함께 있고 싶다면, 이미 거기 가있지 않겠는가? ",Richard Bach,"Can miles truly separate you from friends.... If you want to be with someone you love, aren't you already there?"
